Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Month_Year
26,CA-2017-121755,2017-01-16,20/01/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2017-01
27,CA-2017-121755,2017-01-16,20/01/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,2017-01
268,CA-2017-111010,2017-01-22,28/01/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Morristown,New Jersey,7960.0,East,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,7.56,2017-01
863,CA-2017-134474,2017-01-05,07/01/2017,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,32216.0,South,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472,2017-01
864,CA-2017-134474,2017-01-05,07/01/2017,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,32216.0,South,OFF-AR-10003958,Office Supplies,Art,Newell 337,5.248,2017-01
865,CA-2017-134474,2017-01-05,07/01/2017,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,32216.0,South,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",59.184,2017-01
876,CA-2017-116736,2017-01-17,21/01/2017,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,3301.0,East,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,2017-01
877,CA-2017-116736,2017-01-17,21/01/2017,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,3301.0,East,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,29.99,2017-01
878,CA-2017-116736,2017-01-17,21/01/2017,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,3301.0,East,TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,371.97,2017-01
1026,CA-2017-126529,2017-01-11,13/01/2017,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,45503.0,East,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,15.552,2017-01
1027,CA-2017-126529,2017-01-11,13/01/2017,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,45503.0,East,OFF-PA-10003656,Office Supplies,Paper,Xerox 1935,63.312,2017-01
1028,CA-2017-126529,2017-01-11,13/01/2017,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,45503.0,East,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.588,2017-01
2162,CA-2017-101938,2017-01-07,12/01/2017,Standard Class,DW-13480,Dianna Wilson,Home Office,United States,Oakland,California,94601.0,West,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,2017-01
2303,CA-2017-106558,2017-01-17,21/01/2017,Standard Class,DL-13495,Dionis Lloyd,Corporate,United States,Columbus,Georgia,31907.0,South,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,316.0,2017-01
2471,US-2017-135923,2017-01-22,28/01/2017,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,28314.0,South,FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,14.272,2017-01
2472,US-2017-135923,2017-01-22,28/01/2017,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,28314.0,South,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,2017-01
2473,US-2017-135923,2017-01-22,28/01/2017,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,28314.0,South,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,2017-01
2694,CA-2017-138079,2017-01-22,28/01/2017,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,Seattle,Washington,98115.0,West,FUR-FU-10001475,Furniture,Furnishings,"Contract Clock, 14"", Brown",109.9,2017-01
2876,US-2017-167339,2017-01-21,23/01/2017,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,92037.0,West,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,153.568,2017-01
2877,US-2017-167339,2017-01-21,23/01/2017,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,92037.0,West,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,1013.488,2017-01
2878,CA-2017-152072,2017-01-15,19/01/2017,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,7090.0,East,OFF-EN-10003040,Office Supplies,Envelopes,Quality Park Security Envelopes,52.34,2017-01
2879,CA-2017-152072,2017-01-15,19/01/2017,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,7090.0,East,OFF-AR-10001573,Office Supplies,Art,American Pencil,4.66,2017-01
2880,CA-2017-152072,2017-01-15,19/01/2017,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,7090.0,East,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,254.97,2017-01
2885,CA-2017-164483,2017-01-30,03/02/2017,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,San Francisco,California,94122.0,West,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,17.456,2017-01
2898,US-2017-164630,2017-01-04,09/01/2017,Standard Class,EB-13975,Erica Bern,Corporate,United States,Charlotte,North Carolina,28205.0,South,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,959.968,2017-01
3074,CA-2017-125206,2017-01-03,05/01/2017,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,90045.0,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2017-01
3209,CA-2017-108882,2017-01-09,15/01/2017,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,93727.0,West,TEC-AC-10000420,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,349.95,2017-01
3210,CA-2017-108882,2017-01-09,15/01/2017,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,93727.0,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,377.928,2017-01
3236,CA-2017-140746,2017-01-15,15/01/2017,Same Day,RC-19825,Roy Collins,Consumer,United States,Fairfield,Connecticut,6824.0,East,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",181.797,2017-01
3702,CA-2017-126543,2017-01-09,13/01/2017,Second Class,MF-17665,Maureen Fritzler,Corporate,United States,Toledo,Ohio,43615.0,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",15.168,2017-01
3742,CA-2017-137848,2017-01-15,21/01/2017,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,10011.0,East,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",16.52,2017-01
3743,CA-2017-137848,2017-01-15,21/01/2017,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,10011.0,East,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,60.12,2017-01
3744,CA-2017-137848,2017-01-15,21/01/2017,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,10011.0,East,OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,2017-01
4327,CA-2017-153346,2017-01-25,27/01/2017,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,7060.0,East,OFF-AR-10000315,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",9.21,2017-01
4328,CA-2017-153346,2017-01-25,27/01/2017,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,7060.0,East,OFF-PA-10000007,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",18.0,2017-01
4612,CA-2017-109407,2017-01-24,26/01/2017,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Gulfport,Mississippi,39503.0,South,OFF-BI-10000285,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,31.36,2017-01
4667,CA-2017-116547,2017-01-10,17/01/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,98115.0,West,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,79.92,2017-01
4668,CA-2017-116547,2017-01-10,17/01/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,98115.0,West,TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200,69.98,2017-01
4919,CA-2017-160304,2017-01-02,07/01/2017,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,20877.0,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,2017-01
4920,CA-2017-160304,2017-01-02,07/01/2017,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,20877.0,East,TEC-PH-10000455,Technology,Phones,GE 30522EE2,231.98,2017-01
4999,CA-2017-129238,2017-01-31,04/02/2017,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,90045.0,West,TEC-PH-10004120,Technology,Phones,AT&T 1080 Phone,109.592,2017-01
5000,CA-2017-129238,2017-01-31,04/02/2017,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,90045.0,West,OFF-PA-10002764,Office Supplies,Paper,Easy-staple paper,56.7,2017-01
5114,CA-2017-147970,2017-01-31,02/02/2017,Second Class,AB-10150,Aimee Bixby,Consumer,United States,Dallas,Texas,75220.0,Central,OFF-PA-10003936,Office Supplies,Paper,Xerox 1994,15.552,2017-01
5675,CA-2017-146318,2017-01-22,27/01/2017,Standard Class,MC-17275,Marc Crier,Consumer,United States,Seattle,Washington,98105.0,West,OFF-PA-10003953,Office Supplies,Paper,Xerox 218,12.96,2017-01
5752,CA-2017-125850,2017-01-22,28/01/2017,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,92037.0,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,44.4,2017-01
5753,CA-2017-125850,2017-01-22,28/01/2017,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,92037.0,West,OFF-LA-10004484,Office Supplies,Labels,Avery 476,20.65,2017-01
5868,CA-2017-158211,2017-01-04,08/01/2017,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-AR-10004078,Office Supplies,Art,Newell 312,4.672,2017-01
5869,CA-2017-158211,2017-01-04,08/01/2017,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,104.58,2017-01
5968,CA-2017-166912,2017-01-15,17/01/2017,First Class,BE-11335,Bill Eplett,Home Office,United States,New York City,New York,10009.0,East,OFF-PA-10001033,Office Supplies,Paper,Xerox 1893,81.98,2017-01
6229,CA-2017-148208,2017-01-22,27/01/2017,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,44105.0,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,110.376,2017-01
6230,CA-2017-148208,2017-01-22,27/01/2017,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,44105.0,East,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",55.176,2017-01
6238,US-2017-155180,2017-01-22,29/01/2017,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,10009.0,East,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,2017-01
6851,US-2017-100461,2017-01-08,12/01/2017,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,53132.0,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88,2017-01
6852,US-2017-100461,2017-01-08,12/01/2017,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,53132.0,Central,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,106.05,2017-01
6970,CA-2017-163937,2017-01-10,13/01/2017,Second Class,JB-16000,Joy Bell-,Consumer,United States,Longview,Washington,98632.0,West,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",24.85,2017-01
7269,CA-2017-133368,2017-01-14,20/01/2017,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,28027.0,South,OFF-PA-10004039,Office Supplies,Paper,Xerox 1882,89.568,2017-01
7270,CA-2017-133368,2017-01-14,20/01/2017,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,28027.0,South,FUR-FU-10003374,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,315.776,2017-01
7290,CA-2017-153661,2017-01-30,31/01/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,94122.0,West,OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",305.01,2017-01
7291,CA-2017-153661,2017-01-30,31/01/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,94122.0,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,50.784,2017-01
7292,CA-2017-153661,2017-01-30,31/01/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,94122.0,West,OFF-LA-10004689,Office Supplies,Labels,Avery 512,26.01,2017-01
7294,CA-2017-113656,2017-01-23,29/01/2017,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Los Angeles,California,90036.0,West,FUR-FU-10000719,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",59.99,2017-01
7505,CA-2017-158043,2017-01-31,04/02/2017,Second Class,JK-15325,Jason Klamczynski,Corporate,United States,Atlantic City,New Jersey,8401.0,East,OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,23.36,2017-01
7565,US-2017-166660,2017-01-30,01/02/2017,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,98103.0,West,FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,435.168,2017-01
7566,US-2017-166660,2017-01-30,01/02/2017,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,98103.0,West,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,2017-01
7808,US-2017-137295,2017-01-08,13/01/2017,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,27604.0,South,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",30.828,2017-01
7809,US-2017-137295,2017-01-08,13/01/2017,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,27604.0,South,OFF-AR-10001955,Office Supplies,Art,Newell 319,47.616,2017-01
7810,US-2017-137295,2017-01-08,13/01/2017,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,27604.0,South,TEC-PH-10004080,Technology,Phones,Avaya 5410 Digital phone,108.784,2017-01
8031,CA-2017-158806,2017-01-07,11/01/2017,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,79109.0,Central,FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",23.076,2017-01
8032,CA-2017-158806,2017-01-07,11/01/2017,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,79109.0,Central,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,25.92,2017-01
8176,CA-2017-114944,2017-01-30,04/02/2017,Standard Class,HE-14800,Harold Engle,Corporate,United States,Chicago,Illinois,60623.0,Central,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,156.512,2017-01
8522,CA-2017-141887,2017-01-11,15/01/2017,Standard Class,MP-17470,Mark Packer,Home Office,United States,Columbus,Ohio,43229.0,East,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,54.992,2017-01
8604,US-2017-116365,2017-01-03,08/01/2017,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,78207.0,Central,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,30.08,2017-01
8605,US-2017-116365,2017-01-03,08/01/2017,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,78207.0,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,2017-01
